TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003	1281421	54	2021-09-20T13:22:15	71.3297043	51.1881371	30
A003	1281421	54	2021-09-20T13:23:16	71.3268661	51.1849823	30
A003	1281421	54	2021-09-20T13:24:17	71.32897	51.1816826	30
A003	1281421	54	2021-09-20T13:24:17	71.32897	51.1816826	30
A003	1281421	54	2021-09-20T13:25:55	71.33655	51.1788826	30
A003	1281421	54	2021-09-20T13:26:24	71.33915	51.1780739	30
A003	1281421	54	2021-09-20T13:28:19	71.33835	51.1802521	30
A003	1281421	54	2021-09-20T13:29:06	71.3387	51.18201	30
A003	1281421	54	2021-09-20T13:29:58	71.3428345	51.1859	30
A003	1281421	54	2021-09-20T13:31:03	71.34396	51.1869659	30
A003	1281421	54	2021-09-20T13:32:17	71.34633	51.188076	30
A003	1281421	54	2021-09-20T13:32:47	71.35003	51.1872177	30
A003	1281421	54	2021-09-20T13:34:07	71.35782	51.1853027	30
A003	1281421	54	2021-09-20T13:35:32	71.36496	51.1835175	30
A003	1281421	54	2021-09-20T13:36:34	71.36496	51.1835175	30
A003	1281421	54	2021-09-20T13:37:04	71.36496	51.1835175	30
A003	1281421	54	2021-09-20T13:37:57	71.37013	51.1822624	30
A003	1281421	54	2021-09-20T13:38:53	71.37253	51.1817474	30
A003	1281421	54	2021-09-20T13:40:26	71.37483	51.18112	30
A003	1281421	54	2021-09-20T13:41:06	71.37524	51.1809959	30
A003	1281421	54	2021-09-20T13:42:13	71.38184	51.1793175	30
A003	1281421	54	2021-09-20T13:43:01	71.3834	51.1788826	30
A003	1281421	54	2021-09-20T13:43:32	71.38662	51.1781044	30
A003	1281421	54	2021-09-20T13:43:32	71.38662	51.1781044	30
A003	1281421	54	2021-09-20T13:45:58	71.39628	51.1758842	30
A003	1281421	54	2021-09-20T13:47:31	71.39956	51.175293	30
A003	1281421	54	2021-09-20T13:48:31	71.40651	51.1741	30
A003	1281421	54	2021-09-20T13:48:50	71.40651	51.1741	30
A003	1281421	54	2021-09-20T13:50:08	71.407814	51.1695251	30
A003	1281421	54	2021-09-20T13:51:12	71.4078751	51.1692734	30
A003	1281421	54	2021-09-20T13:51:47	71.4080048	51.16866	30
A003	1281421	54	2021-09-20T13:53:21	71.40988	51.1624	30
A003	1281421	54	2021-09-20T13:53:52	71.4099655	51.1617737	30
A003	1281421	54	2021-09-20T13:55:33	71.41243	51.1523781	30
A003	1281421	54	2021-09-20T13:56:18	71.41254	51.1505737	30
A003	1281421	54	2021-09-20T13:57:36	71.4108658	51.14334	30
A003	1281421	54	2021-09-20T13:57:36	71.4108658	51.14334	30
A003	1281421	54	2021-09-20T13:58:17	71.4101	51.14123	30
A003	1281421	54	2021-09-20T14:00:20	71.40885	51.13774	30
A003	1281421	54	2021-09-20T14:00:51	71.40885	51.13774	30
A003	1281421	54	2021-09-20T14:02:23	71.41244	51.136734	30
A003	1281421	54	2021-09-20T14:03:25	71.41244	51.136734	30
A003	1281421	54	2021-09-20T14:04:04	71.414505	51.1365242	30
A003	1281421	54	2021-09-20T14:05:06	71.414505	51.1365242	30
A003	1281421	54	2021-09-20T14:06:27	71.41962	51.13574	30
A003	1281421	54	2021-09-20T14:07:18	71.42609	51.13459	30
A003	1281421	54	2021-09-20T14:08:36	71.43402	51.13327	30
A003	1281421	54	2021-09-20T14:09:06	71.43402	51.13327	30
A003	1281421	54	2021-09-20T14:10:08	71.43449	51.133194	30
A003	1281421	54	2021-09-20T14:11:46	71.43954	51.1301079	30
A003	1281421	54	2021-09-20T14:12:48	71.43915	51.1291542	30
A003	1281421	54	2021-09-20T14:13:19	71.43875	51.12839	30
A003	1281421	54	2021-09-20T14:14:34	71.43612	51.1250153	30
A003	1281421	54	2021-09-20T14:15:05	71.4317856	51.1256256	30
A003	1281421	54	2021-09-20T14:16:07	71.4314651	51.12569	30
A003	1281421	54	2021-09-20T14:17:00	71.4303741	51.1232529	30
A003	1281421	54	2021-09-20T14:18:31	71.42922	51.1205559	30
